riscv32-unknown-elf-gcc -c -Og -march=rv32i -mabi=ilp32 -static   bmpresize.s -o bmpresize.o
riscv32-unknown-elf-gcc -T./link.ld -nostdlib -nostartfiles -o bmpresize bmpresize-main.o bmpresize.o bmpresize-test.o  
../pyrisc/sim/snurisc.py       -l 4 bmpresize
Loading file bmpresize
0 0x80000000: lui    sp, 0x80018000         # R[2] <- 0x80018000, pc_next=0x80000004
1 0x80000004: jal    ra, 0x8000000c         # R[1] <- 0x80000008, pc_next=0x8000000c
2 0x8000000c: addi   sp, sp, -4             # R[2] <- 0x80017ffc, pc_next=0x80000010
3 0x80000010: sw     ra, 0(sp)              # pc_next=0x80000014
4 0x80000014: addi   t6, zero, 1            # R[31] <- 0x00000001, pc_next=0x80000018
5 0x80000018: auipc  s2, 0x10000            # R[18] <- 0x80010018, pc_next=0x8000001c
6 0x8000001c: addi   s2, s2, -24            # R[18] <- 0x80010000, pc_next=0x80000020
7 0x80000020: auipc  s3, 0x10000            # R[19] <- 0x80010020, pc_next=0x80000024
8 0x80000024: addi   s3, s3, -8             # R[19] <- 0x80010018, pc_next=0x80000028
9 0x80000028: lui    a4, 0x80018000         # R[14] <- 0x80018000, pc_next=0x8000002c
10 0x8000002c: lw     a3, 0(s2)              # R[13] <- 0x80010030, pc_next=0x80000030
11 0x80000030: lw     a2, 4(a3)              # R[12] <- 0x00000004, pc_next=0x80000034
12 0x80000034: lw     a1, 8(a3)              # R[11] <- 0x00000004, pc_next=0x80000038
13 0x80000038: addi   a0, a3, 12             # R[10] <- 0x8001003c, pc_next=0x8000003c
14 0x8000003c: lw     a3, 0(a3)              # R[13] <- 0x00000001, pc_next=0x80000040
15 0x80000040: jal    ra, 0x80000094         # R[1] <- 0x80000044, pc_next=0x80000094
16 0x80000094: addi   sp, sp, -20            # R[2] <- 0x80017fe8, pc_next=0x80000098
17 0x80000098: sw     a0, 16(sp)             # pc_next=0x8000009c
18 0x8000009c: sw     a1, 12(sp)             # pc_next=0x800000a0
19 0x800000a0: sw     a2, 8(sp)              # pc_next=0x800000a4
20 0x800000a4: sw     a3, 4(sp)              # pc_next=0x800000a8
21 0x800000a8: sw     a4, 0(sp)              # pc_next=0x800000ac
22 0x800000ac: addi   t0, zero, 1            # R[5] <- 0x00000001, pc_next=0x800000b0
23 0x800000b0: sll    t0, t0, a3             # R[5] <- 0x00000002, pc_next=0x800000b4
24 0x800000b4: addi   sp, sp, -4             # R[2] <- 0x80017fe4, pc_next=0x800000b8
25 0x800000b8: sw     t0, 0(sp)              # pc_next=0x800000bc
26 0x800000bc: addi   t0, a1, 0              # R[5] <- 0x00000004, pc_next=0x800000c0
27 0x800000c0: addi   t1, a2, 0              # R[6] <- 0x00000004, pc_next=0x800000c4
28 0x800000c4: srl    t0, t0, a3             # R[5] <- 0x00000002, pc_next=0x800000c8
29 0x800000c8: srl    t1, t1, a3             # R[6] <- 0x00000002, pc_next=0x800000cc
30 0x800000cc: addi   sp, sp, -8             # R[2] <- 0x80017fdc, pc_next=0x800000d0
31 0x800000d0: sw     t0, 4(sp)              # pc_next=0x800000d4
32 0x800000d4: sw     t1, 0(sp)              # pc_next=0x800000d8
33 0x800000d8: addi   t3, t0, 0              # R[28] <- 0x00000002, pc_next=0x800000dc
34 0x800000dc: slli   t3, t3, 1              # R[28] <- 0x00000004, pc_next=0x800000e0
35 0x800000e0: add    t3, t0, t3             # R[28] <- 0x00000006, pc_next=0x800000e4
36 0x800000e4: addi   t1, t0, 0              # R[6] <- 0x00000002, pc_next=0x800000e8
37 0x800000e8: srli   t1, t1, 2              # R[6] <- 0x00000000, pc_next=0x800000ec
38 0x800000ec: slli   t1, t1, 2              # R[6] <- 0x00000000, pc_next=0x800000f0
39 0x800000f0: sub    t2, t0, t1             # R[7] <- 0x00000002, pc_next=0x800000f4
